2026-08-02 00:08:39  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:08:39  DEBUG     httpcore.connection  close.started
2026-08-02 00:08:39  DEBUG     httpcore.connection  close.complete
2026-08-02 00:08:39  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=335
2026-08-02 00:08:39  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\College_ID_Card2.jpeg'; falling back to Tesseract.
2026-08-02 00:08:39  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_qbj_yqwm_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_qbj_yqwm', '-l', 'eng', 'txt']
2026-08-02 00:08:40  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:09:18  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:39:18 GMT'), (b'Content-Length', b'577')])
2026-08-02 00:09:18  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:09:18  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:09:18  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:09:18  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:09:18  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:09:18  DEBUG     httpcore.connection  close.started
2026-08-02 00:09:18  DEBUG     httpcore.connection  close.complete
2026-08-02 00:09:18  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=274
2026-08-02 00:09:18  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\tcsnowhite.jpeg'; falling back to Tesseract.
2026-08-02 00:09:18  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_h704t_gw_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_h704t_gw', '-l', 'eng', 'txt']
2026-08-02 00:09:18  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:09:25  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:39:25 GMT'), (b'Content-Length', b'626')])
2026-08-02 00:09:25  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:09:25  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:09:25  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:09:25  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:09:25  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:09:25  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=327
2026-08-02 00:09:25  WARNING   parsers.image_parser  Ollama Vision call timed out (45s) for 'C:\Users\acer\Documents\Aadhisesha\Aadhi_Passport_raw.JPG'; falling back to Tesseract.
2026-08-02 00:09:30  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_ldxxrcyv_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_ldxxrcyv', '-l', 'eng', 'txt']
2026-08-02 00:09:30  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:09:30  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:09:30  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:09:30  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:09:30  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:09:30  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:09:31  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:39:31 GMT'), (b'Content-Length', b'616')])
2026-08-02 00:09:31  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:09:31  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:09:31  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:09:31  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:09:31  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:09:31  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=316
2026-08-02 00:09:31  WARNING   parsers.image_parser  Ollama Vision call timed out (45s) for 'C:\Users\acer\Documents\Aadhisesha\Aadhi_Passport_Photo.jpeg'; falling back to Tesseract.
2026-08-02 00:09:31  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_3ah6ey63_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_3ah6ey63', '-l', 'eng', 'txt']
